ts_event,open,high,low,close,volume
2010-06-07,16.77731673582296,17.25629258795717,16.664375085934278,17.25629258795717,53
2010-06-08,17.271716469770674,17.511204481792713,17.176828425273055,17.176828425273055,23
2010-06-09,16.463251072961373,16.49785061794734,16.439973172367537,16.439973172367537,11
2010-06-10,16.201859229747676,16.27179555437242,16.108393919365497,16.27179555437242,83
2010-06-11,16.382037533512065,16.556712180613765,16.382037533512065,16.506913679688548,27
2010-06-14,16.57969065232011,16.57969065232011,16.041090478071908,16.041090478071908,6
2010-06-16,15.742637644046097,15.742637644046097,15.672060135049051,15.672060135049051,4
2010-06-17,15.813923889525265,15.964016843179786,15.738866396761132,15.964016843179786,6
2010-06-18,16.17245817245817,16.17245817245817,16.082908163265305,16.082908163265305,4
2010-06-21,15.759136004018588,15.78126964173476,15.731155778894474,15.78126964173476,5
2010-06-22,15.755725190839698,15.896746092749169,15.755725190839698,15.874519846350832,11
2010-06-23,16.051395773545526,16.151626442812173,16.051395773545526,16.151626442812173,11
2010-06-24,16.277938469629238,16.460317460317462,16.277938469629238,16.460317460317462,6
2010-06-25,16.256476683937823,16.256476683937823,16.018400204446714,16.059365404298877,26
2010-06-28,16.19674670797831,16.19674670797831,16.19674670797831,16.19674670797831,1
2010-06-29,16.273135906927553,16.355425687342276,16.273135906927553,16.355425687342276,3
2010-06-30,16.388303477344575,16.62386302835741,16.388303477344575,16.62386302835741,8
2010-07-01,17.0930394755196,17.0930394755196,16.743119266055047,16.743119266055047,10
2010-07-02,16.65743561340349,16.745734498543488,16.65743561340349,16.745734498543488,2
2010-07-06,16.47505872599143,16.47505872599143,16.32457580733443,16.32457580733443,2
2010-07-07,16.358397365532383,16.358397365532383,16.358397365532383,16.358397365532383,1
2010-07-08,15.913448735019973,16.107219827586206,15.913448735019973,16.01769911504425,12
2010-07-12,16.078143752500335,16.078143752500335,16.078143752500335,16.078143752500335,10
2010-07-13,16.006351726875746,16.039003821320332,15.808842652795839,15.808842652795839,11
2010-07-14,15.660475386413822,15.660475386413822,15.660475386413822,15.660475386413822,1
2010-07-16,15.792901767911735,15.868231528407573,15.792901767911735,15.868231528407573,12
2010-07-20,15.70517080951748,15.70517080951748,15.70517080951748,15.70517080951748,1
2010-07-21,15.570513658345313,15.570513658345313,15.570513658345313,15.570513658345313,5
2010-07-22,15.673280423280426,15.673280423280426,15.391349124613798,15.391349124613798,27
2010-07-23,15.484415584415585,15.484415584415585,15.484415584415585,15.484415584415585,2
2010-07-27,15.099832538966895,15.099832538966895,15.099832538966895,15.099832538966895,1
2010-07-29,15.335261635550882,15.356576862123612,14.897567221510885,15.08200955701924,11418
2010-07-30,15.0599304034025,15.346949463210265,15.0599304034025,15.122919334186939,745
2010-08-02,14.845230574857863,14.845230574857863,14.584105796564085,14.641929499072356,182
2010-08-03,14.463959019392611,14.586660115464932,14.344143272023235,14.344143272023235,76
2010-08-04,14.550193986420949,14.598246895544191,14.496919917864476,14.561830574488804,22
2010-08-05,14.700098328416912,14.706968726914553,14.64679911699779,14.64679911699779,4
2010-08-06,14.86530105524519,15.128558886241063,14.834315169366716,15.097300690521028,50
2010-08-09,14.903560830860537,14.919214516529955,14.847922848664691,14.919214516529955,47
2010-08-10,15.016996097192495,15.160634920634921,14.964956195244055,15.118495297805643,81
2010-08-11,15.384026537381985,15.453726348307375,15.327533265097237,15.453726348307375,66
2010-08-12,16.00686196885722,16.00686196885722,15.85512552301255,15.862970711297072,57
2010-08-13,16.056561384961014,16.109119872560733,16.056561384961014,16.109119872560733,2
2010-08-17,16.015400678673974,16.015400678673974,15.939575465555409,15.939575465555409,4
2010-08-18,16.12860545117756,16.12860545117756,16.08189429618001,16.08189429618001,36
2010-08-19,16.401379493301498,16.401379493301498,16.34897554527429,16.369917618921072,16
2010-08-20,16.46316919361331,16.52004304546677,16.46316919361331,16.52004304546677,4
2010-08-23,16.45567922757141,16.52712343518643,16.45567922757141,16.52712343518643,3
2010-08-24,16.705720192970364,16.995441359303772,16.705720192970364,16.995441359303772,112
2010-08-25,17.070441988950275,17.165441686312576,17.005208333333336,17.005208333333336,95
2010-08-26,16.521275176737362,16.592126405998926,16.38999205718824,16.493074054342035,25
2010-08-27,16.46527685566326,16.46527685566326,16.380311427817364,16.380311427817364,8
2010-08-30,16.228001050696086,16.22815087396504,16.186485070717655,16.186485070717655,11
2010-08-31,16.271408027193097,16.68093073014175,16.26910516002613,16.668893639764832,40
2010-09-01,16.413157894736845,16.4235882585231,16.26157256487156,16.26157256487156,10
2010-09-02,16.486771093852838,16.525815396804436,16.486771093852838,16.525815396804436,6
2010-09-03,16.049702303908877,16.049702303908877,16.028936829866943,16.028936829866943,2
2010-09-08,16.169064748201436,16.169064748201436,16.136188766350344,16.136188766350344,11
2010-09-10,15.950402658826535,16.0,15.950402658826535,16.0,15
2010-09-13,15.747053605373209,15.768159959503924,15.710503089143865,15.768159959503924,3
2010-09-14,15.955790002511932,16.10330421572351,15.955790002511932,16.10330421572351,15
2010-09-16,16.008302931186314,16.016597510373444,15.99296570782565,16.016597510373444,15
2010-09-17,16.352217380158933,16.431423052157115,16.352217380158933,16.431423052157115,21
2010-09-21,16.359347105330272,16.377992868059096,16.359347105330272,16.365602340669128,7
2010-09-23,16.56294019720835,16.56294019720835,16.533742331288344,16.533742331288344,6
2010-09-24,16.466852933705866,16.483153210425936,16.466852933705866,16.483153210425936,3
2010-09-28,16.430659717808567,16.52272727272727,16.430659717808567,16.52272727272727,9
2010-09-29,16.613373937317597,16.663265306122447,16.179274483100162,16.179274483100162,537
2010-09-30,16.013909224011716,16.058938615798482,15.870896619304263,15.875060768108897,153
2010-10-01,15.786065475476677,15.901520637219406,15.758955313286211,15.787075890181034,33
2010-10-04,15.683393070489844,15.711044776119403,15.683393070489844,15.711044776119403,2
2010-10-05,15.879756650363833,15.951330072766314,15.804740007074638,15.804740007074638,38
2010-10-06,15.924698081932277,15.924698081932277,15.74515300163513,15.804935370152762,36
2010-10-07,15.896176780077164,16.05386557653,15.816387204185991,16.01510067114094,46
2010-10-08,16.218833212297262,16.218833212297262,16.137814721117934,16.160908431988403,4
2010-10-11,16.01905896366885,16.01905896366885,16.01905896366885,16.01905896366885,1
2010-10-13,16.084023668639052,16.252367424242422,16.084023668639052,16.16745283018868,48
2010-10-15,16.422182468694096,16.44079885877318,16.324298621017594,16.379516630772912,57
2010-10-18,16.510441962117532,16.510441962117532,16.25503673856364,16.25503673856364,12
2010-10-19,16.24580335731415,16.377488326370116,16.217029989160544,16.377488326370116,119
2010-10-20,16.309828279137744,16.309828279137744,16.16606498194946,16.16606498194946,16
2010-10-21,16.119546878765966,16.143223756568496,16.119546878765966,16.143223756568496,10
2010-10-22,16.12011207211597,16.12011207211597,16.12011207211597,16.12011207211597,3
2010-10-25,16.135265700483092,16.135265700483092,16.116411061466003,16.116411061466003,2
2010-10-26,16.002402402402403,16.002402402402403,15.962962962962962,15.973699940227137,35
2010-10-27,16.067961165048544,16.10820031680273,16.067961165048544,16.10820031680273,10
2010-10-28,15.951494777284186,15.98556825015033,15.951494777284186,15.98556825015033,13
2010-10-29,16.22478386167147,16.38942539835828,16.171284634760706,16.38942539835828,13
2010-11-01,15.92180732763666,15.971384651767767,15.878965922444184,15.897647058823528,28
2010-11-02,15.909410936399906,15.909410936399906,15.909410936399906,15.909410936399906,5
2010-11-03,15.756375917083963,15.756375917083963,15.396825396825397,15.55491396235131,47
2010-11-04,15.641142857142857,15.715747583854462,15.631921452220572,15.690770802588261,43
2010-11-05,15.624078902618752,15.864892528147388,15.624078902618752,15.864892528147388,11
2010-11-08,15.87739288969918,15.94001131861913,15.824800910125141,15.926763110307414,17
2010-11-09,15.960974509361606,16.059580230196342,15.88746569075938,15.88746569075938,19
2010-11-10,15.814295408278669,15.814295408278669,15.68271954674221,15.692985428668248,5
2010-11-11,15.762102662024036,15.77615298087739,15.756519784172664,15.77615298087739,3
2010-11-12,15.873452544704264,15.891959798994975,15.81281932187645,15.833429996520126,19
2010-11-16,15.777829529576154,15.840439201027916,15.69069246195588,15.75014731879788,27
2010-11-17,15.88849347568209,16.071084337349397,15.88849347568209,16.071084337349397,11
2010-11-18,15.841247508500409,15.841247508500409,15.841247508500409,15.841247508500409,6
2010-11-19,15.840009425070688,15.840009425070688,15.840009425070688,15.840009425070688,1
2010-11-23,16.526442307692307,16.526442307692307,16.526442307692307,16.526442307692307,1
2010-11-29,15.817949611053061,15.853544776119401,15.623069001029865,15.665865109355318,12407
2010-11-30,15.76070731427259,16.11816804568232,15.76070731427259,16.111434899172398,878
2010-12-01,15.952871196522533,15.952871196522533,15.615868734547089,15.663886384129848,678
2010-12-02,15.591699383062254,15.623383923552558,15.311569427594574,15.320959010054137,217
2010-12-03,15.247198417930125,15.549292661361628,15.247198417930125,15.350762527233117,1105
2010-12-06,15.50767543859649,15.560307017543858,15.42302660270388,15.522420787194386,104
2010-12-07,15.448440207972272,15.544554455445544,15.40089941866842,15.40089941866842,50
2010-12-08,15.288292253521128,15.288292253521128,15.081805204787527,15.163808267370273,457
2010-12-09,15.184860120680195,15.33436669619132,15.168219178082191,15.221258372680357,378
2010-12-10,15.11666118961551,15.358411007545493,15.11666118961551,15.323828470380194,100
2010-12-13,15.140278381905176,15.351321585903085,15.09433962264151,15.331941085952957,42
2010-12-14,15.370958904109589,15.371484845169055,15.266149305935077,15.36652078774617,52
2010-12-15,15.191950125779284,15.192602319982491,15.00325591491209,15.00325591491209,75
2010-12-17,15.035678998792402,15.035678998792402,14.865157586916496,15.020172282193872,10
2010-12-20,15.09534706331045,15.127587339831344,14.950420349213191,14.950420349213191,55
2010-12-21,14.942875619745635,14.963740664574088,14.844453979832654,14.87459807073955,19
2010-12-22,14.847675040085516,14.847675040085516,14.8032,14.808760683760683,23
2010-12-23,14.658981748318926,14.67155612244898,14.588758335979676,14.588758335979676,18
2010-12-27,14.77972626176219,14.77972626176219,14.696662757223585,14.696662757223585,8
2010-12-28,14.914893617021276,14.936654955818161,14.913527851458886,14.917806766359103,14
2010-12-29,14.979830148619957,14.979830148619957,14.979830148619957,14.979830148619957,5
2010-12-30,15.036800000000001,15.193119117169749,15.033190578158456,15.1183050118305,81
2010-12-31,15.265888456549936,15.27870981707977,14.920100925147182,14.926362297496318,10
2011-01-03,14.842622607968213,14.882105263157895,14.842622607968213,14.882105263157895,4
2011-01-04,14.670024131780506,14.862998921251348,14.65863453815261,14.776919776919778,30
2011-01-05,14.782561894510225,14.815970727507533,14.366757379108225,14.366757379108225,85
2011-01-06,14.376177517270252,14.582181586221559,14.298392148674045,14.54285411590211,24
2011-01-07,14.37738650827323,14.779372100550223,14.37738650827323,14.7739777753803,34
2011-01-10,14.6298875200857,14.692019282271024,14.331210191082803,14.356777092695161,45
2011-01-11,14.359480519480519,14.359480519480519,14.177020227949482,14.177020227949482,8
2011-01-12,14.129989764585465,14.140225179119755,13.986411114491432,14.031196191633748,16
