date,max_lifespan,n_bars,total_persistence
2001-08-31,0.04159867763519287,3,0.0713624507188797
2001-09-30,0.04159867763519287,3,0.05183775722980499
2001-10-31,0.04159867763519287,3,0.05183775722980499
2001-11-30,0.04159867763519287,4,0.06536900997161865
2001-12-31,0.04159867763519287,4,0.06081303954124451
2002-01-31,0.04159867763519287,4,0.06081303954124451
2002-02-28,0.04159867763519287,3,0.057006850838661194
2002-03-31,0.04159867763519287,4,0.07481187582015991
2002-04-30,0.07077020406723022,3,0.09755051136016846
2002-05-31,0.0561370849609375,4,0.0927371084690094
2002-06-30,0.0561370849609375,4,0.0927371084690094
2002-07-31,0.0561370849609375,5,0.08539699018001556
2002-08-31,0.0561370849609375,6,0.12856701016426086
2002-09-30,0.0561370849609375,5,0.12487651407718658
2002-10-31,0.04358677566051483,6,0.11035145819187164
2002-11-30,0.04358677566051483,6,0.11035145819187164
2002-12-31,0.04358677566051483,6,0.11035145819187164
2003-01-31,0.05005151033401489,5,0.11879093945026398
2003-02-28,0.04358677566051483,7,0.1358497440814972
2003-03-31,0.04358677566051483,8,0.1555352658033371
2003-04-30,0.04358677566051483,9,0.17105142772197723
2003-05-31,0.026412084698677063,9,0.13748526573181152
2003-06-30,0.026412084698677063,9,0.16114647686481476
2003-07-31,0.026412084698677063,9,0.16114647686481476
2003-08-31,0.026412084698677063,9,0.16114647686481476
2003-09-30,0.037588462233543396,9,0.18975965678691864
2003-10-31,0.037588462233543396,8,0.17367242276668549
2003-11-30,0.037588462233543396,9,0.19974906742572784
2003-12-31,0.03296960890293121,10,0.19988775253295898
2004-01-31,0.03296960890293121,11,0.22087319195270538
2004-02-29,0.03296960890293121,11,0.22087319195270538
2004-03-31,0.03296960890293121,12,0.23089207708835602
2004-04-30,0.03296960890293121,12,0.23089207708835602
2004-05-31,0.03296960890293121,11,0.20447999238967896
2004-06-30,0.03296960890293121,10,0.18506744503974915
2004-07-31,0.03296960890293121,8,0.15536130964756012
2004-08-31,0.03296960890293121,7,0.13407562673091888
2004-09-30,0.03296960890293121,8,0.13457739353179932
2004-10-31,0.03983341157436371,8,0.1739090383052826
2004-11-30,0.03983341157436371,8,0.1739090383052826
2004-12-31,0.03983341157436371,8,0.1739090383052826
2005-01-31,0.03983341157436371,7,0.15839287638664246
2005-02-28,0.03983341157436371,7,0.15839287638664246
2005-03-31,0.03983341157436371,7,0.1280190795660019
2005-04-30,0.03983341157436371,7,0.1280190795660019
2005-05-31,0.03983341157436371,5,0.09428693354129791
2005-06-30,0.03983341157436371,5,0.09428693354129791
