,M2_over_GDP,omega
2000-08-01,0.4678727386150967,7.933294976994548
2000-09-01,0.46845721424109926,9.627023437843617
2000-10-01,0.4690431519699812,8.786069449302964
2000-11-01,0.47258979206049145,8.303105013941458
2000-12-01,0.47619047619047616,12.04605845881311
2001-01-01,0.4798464491362764,9.988717792535375
2001-02-01,0.48192771084337344,10.604133060133892
2001-03-01,0.48402710551790906,10.974467825382314
2001-04-01,0.48614487117160915,9.70231532524807
2001-05-01,0.489795918367347,9.292468924447242
2001-06-01,0.4935022207599934,10.324303933747258
2001-07-01,0.49726504226752855,10.932238694333932
2001-08-01,0.5,10.238805742406132
2001-09-01,0.5027652086475616,13.369912843917897
2001-10-01,0.5055611729019212,14.23841059602649
2001-11-01,0.5065856129685917,14.476743863450547
2001-12-01,0.5076142131979695,14.403101406048126
2002-01-01,0.508646998982706,14.792868699712407
2002-02-01,0.5083022704168079,14.312591037483417
2002-03-01,0.5079580088046055,11.941594558149788
2002-04-01,0.5076142131979695,11.449221419439748
2002-05-01,0.5093378607809848,13.678257226644323
2002-06-01,0.5110732538330495,12.376628503750494
2002-07-01,0.5128205128205129,11.537291179871811
2002-08-01,0.5151098901098901,11.335268283616996
2002-09-01,0.5174197999310107,11.126760353709528
2002-10-01,0.5197505197505198,12.465699725597805
2002-11-01,0.5208333333333334,12.30769183344867
2002-12-01,0.5219206680584552,11.54050485071433
2003-01-01,0.5230125523012552,11.666138352643928
2003-02-01,0.5242005940940067,10.300000359030332
2003-03-01,0.5253940455341506,11.975044345685715
2003-04-01,0.526592943654555,14.368644326420153
2003-05-01,0.5262234695667426,13.71331828442438
2003-06-01,0.5258545135845749,11.98060941828255
2003-07-01,0.5254860746190226,12.343096234309623
2003-08-01,0.5222841225626741,12.366689012739672
2003-09-01,0.5191209551825575,13.720184901975236
2003-10-01,0.5159958720330238,13.791248206599713
2003-11-01,0.5151098901098901,13.706389906492875
2003-12-01,0.5142269454919438,13.719472350067038
2004-01-01,0.513347022587269,13.62004782279144
2004-02-01,0.5142269454919438,12.03400102903717
2004-03-01,0.5151098901098901,13.233198754814763
2004-04-01,0.5159958720330238,10.98495600340619
2004-05-01,0.5151983513652756,10.64864864864865
2004-06-01,0.51440329218107,11.81818200191197
2004-07-01,0.5136106831022085,9.428502531950809
2004-08-01,0.5128205128205129,10.31155763559006
2004-09-01,0.5120327700972862,8.766750674351576
2004-10-01,0.5112474437627812,8.897425249169435
2004-11-01,0.5089058524173028,10.20348152369362
2004-12-01,0.5065856129685917,10.8345715700842
2005-01-01,0.5042864346949066,9.47652185560478
2005-02-01,0.5034401745259272,8.707360861759424
2005-03-01,0.5025967498743508,8.055242619448164
2005-04-01,0.5017561465127948,8.595139300533491
2005-05-01,0.5013368983957219,8.444218819329995
2005-06-01,0.5009183503088996,7.873916074719732
2005-07-01,0.5005005005005005,7.1925714220593
2005-08-01,0.5004170141784821,6.494011793307916
2005-09-01,0.5003335557038024,7.601296596434359
2005-10-01,0.5002501250625312,7.954506688960418
2005-11-01,0.499001996007984,9.288263025418134
2005-12-01,0.4977600796416128,8.863558031983844
2006-01-01,0.496524329692155,9.033074660436284
2006-02-01,0.49644216448783723,9.394445894712906
2006-03-01,0.4963600264725347,8.807144834892048
2006-04-01,0.4962779156327543,9.033956864767411
2006-05-01,0.49726504226752855,9.508657688323222
2006-06-01,0.4982561036372695,8.381147540983607
2006-07-01,0.4992511233150274,8.484281099759615
2006-08-01,0.5,9.25066545099117
2006-09-01,0.5007511266900351,10.130309283904849
2006-10-01,0.5015045135406219,10.762515153856004
2006-11-01,0.5017561465127948,10.051274462617505
2006-12-01,0.5020080321285141,10.773405905818032
2007-01-01,0.5022601707684581,11.535739561217268
2007-02-01,0.5029337803855826,11.271258198586672
2007-03-01,0.5036091992613732,9.68307287863298
2007-04-01,0.5042864346949066,10.12196935891715
2007-05-01,0.5049654940245749,9.69492519800528
2007-06-01,0.5056463846283499,8.973968091746572
2007-07-01,0.5063291139240506,8.65991461386914
2007-08-01,0.5064145847400405,9.309724719878266
2007-09-01,0.5065000844166807,9.17376791148535
2007-10-01,0.5065856129685917,8.812729498164014
2007-11-01,0.5098572399728076,8.817495346714365
2007-12-01,0.5131713992473487,8.912254743958822
2008-01-01,0.5165289256198348,10.075344094857297
2008-02-01,0.5175983436853002,9.634291135638628
2008-03-01,0.5186721991701245,8.953386223072718
2008-04-01,0.5197505197505198,7.764578723838811
2008-05-01,0.521557719054242,6.940164159506991
2008-06-01,0.5233775296580601,6.692196619993
2008-07-01,0.5252100840336135,7.364222598018231
2008-08-01,0.533997864008544,7.307251632681019
2008-09-01,0.5430847212165097,9.347733235746698
2008-10-01,0.5524861878453039,11.946666463216143
2008-11-01,0.5605381165919282,17.1039399037517
2008-12-01,0.5688282138794084,24.667782679674417
2009-01-01,0.5773672055427251,20.99388697742741
2009-02-01,0.5803830528148578,21.200180139608197
