,financial_ratio_monthly,physical_proxy_monthly,distortion,log_distortion,E_optimal
2010-01-31,,0.35531889701934694,,,
2010-02-28,,0.359581451376389,,,
2010-03-31,,0.3451923558934446,,,
2010-04-30,,0.3441391072019162,,,
2010-05-31,,0.41856277859227503,,,
2010-06-30,16.27467081242716,0.43893976351389175,2.955743031098753,1.0837500680145027,7.297667998044405
2010-07-31,15.800730531563575,0.42424163858777664,2.9690893134355894,1.0882552773216205,7.2758770421960595
2010-08-31,15.800327819071954,0.4347920642129986,2.896969184728989,1.0636650817713682,7.137483870979134
2010-09-30,16.248475335931992,0.46756979989186925,2.770292012003637,1.0189527341389004,6.939285270906298
2010-10-31,16.091805643415686,0.46097155078876517,2.7828515640433067,1.0234761444498357,6.9477121361797485
2010-11-30,15.882469279145868,0.460670102380103,2.7484471062491718,1.0110360635451403,6.860778111331365
2010-12-31,15.113736063526488,0.4451690418896815,2.706488995685327,0.9956522213627677,6.7034137205245
2011-01-31,14.07853847299829,0.43714598198319593,2.5673818569113953,0.9428866469269618,6.3330353687216885
2011-02-28,13.229422311729213,0.4484226550558528,2.3518667991753244,0.8552093954289827,5.834686703060278
2011-03-31,12.411965161471294,0.4186394660687453,2.3635226406227616,0.8601531504829382,5.775301173668346
2011-04-30,12.037209878008431,0.41284731973105776,2.3243190955106408,0.8434271340008658,5.662618844494726
2011-05-31,13.167880989580057,0.4584791349763133,2.289579371056893,0.828368119933589,5.709042402618168
2011-06-30,13.434070973491902,0.49107528394671757,2.18081561801162,0.7796989435318917,5.5270125686367875
2011-07-31,13.48444492615294,0.5049025378273775,2.1290453240806415,0.7556736745906277,5.43273552248428
2011-08-31,16.064156514677382,0.6383875976275528,2.0060089785882855,0.6961471653962703,5.454677773657511
2011-09-30,16.14849857388869,0.647591040214439,1.9878824741569971,0.6870699888596015,5.428338685363517
2011-10-31,15.35619472369601,0.6075175410896732,2.015042336960499,0.700640206076431,5.401210894293823
2011-11-30,15.758502823841079,0.5646510750352493,2.2248164209519032,0.799674404776931,5.843865457271432
2011-12-31,15.227878673663064,0.5237607121435435,2.3177461925627205,0.8405952447736824,5.969076481670301
2012-01-31,14.897498978858348,0.5228475560351783,2.271421167980594,0.820405700785948,5.847170097685342
2012-02-29,14.636471418549478,0.5391378387670572,2.1641928725410917,0.7720474848042216,5.61536408101541
2012-03-31,13.45941257672839,0.5014463111536939,2.1397402290749277,0.760684433382862,5.450749044061476
2012-04-30,13.708217705612757,0.5099598477526243,2.142912296800031,0.7621657902223484,5.481714748096029
2012-05-31,14.433822614572648,0.5389705712690193,2.134890958151046,0.7584155719107418,5.538887364849067
2012-06-30,16.684786978258277,0.6263720676480243,2.1234775328448987,0.7530550904679365,5.742088658793592
2012-07-31,15.53193782641846,0.587138972902639,2.1088423832854515,0.746139163419536,5.598728150577202
2012-08-31,14.474961815675757,0.562987622835497,2.0496417859600724,0.7176650393256941,5.379462056674653
2012-09-30,15.500926280896644,0.6033385537011019,2.0481226467888045,0.7169235915115046,5.4791442362151255
2012-10-31,15.636645366400407,0.6360949781323936,1.9596612565328804,0.6727716300063435,5.3230147022337295
2012-11-30,15.734937478617686,0.6540607892765633,1.9178131593848258,0.6511855574225403,5.252563890355108
2012-12-31,15.430951085355503,0.6320772271152438,1.9461752166844677,0.6658660191167105,5.276574095644529
2013-01-31,14.858062409941546,0.5865177306031647,2.019484013083034,0.7028420397151929,5.359918429357526
2013-02-28,14.030736193985708,0.5720538175245569,1.9552529855855478,0.6705195894568876,5.153967101950438
2013-03-31,14.549426561433133,0.5774520548916248,2.0085809175334535,0.6974284615503403,5.308138702023816
2013-04-30,14.34238082717648,0.5459186842607758,2.0943664791867254,0.7392511110734569,5.452002348912591
2013-05-31,13.695833242125099,0.5080374400761151,2.1490777470987585,0.7650387952743403,5.4923039002795155
2013-06-30,12.98268059662164,0.47703469589407366,2.169570624020132,0.7745292788585454,5.460301501659968
2013-07-31,11.954450216634502,0.41928945830065345,2.2728723791448195,0.8210443968554292,5.55564917757392
2013-08-31,12.270782044324296,0.4304633660863017,2.2724557304944963,0.8208610663492742,5.586483075176973
2013-09-30,12.161268693233556,0.42755526627032375,2.26749329042932,0.8186749439859389,5.566011957085725
2013-10-31,12.036854538999584,0.43797834987223805,2.190885878151079,0.7843059726073338,5.406609383414273
2013-11-30,11.870133972525963,0.4546040386078967,2.0815254146779765,0.7331009973683983,5.18014378459402
2013-12-31,11.056473430616371,0.42015128786254297,2.0978301089093208,0.7409035290543055,5.130056123418293
2014-01-31,11.599121549782684,0.442104389975956,2.0915086205127973,0.7378856335807434,5.1721939984109815
2014-02-28,11.928075703746783,0.4353373279253952,2.1842576543215424,0.7812760245147717,5.383016131726208
2014-03-31,12.424772280535484,0.44549983073114763,2.223311330193575,0.7989976747457934,5.507605085975917
2014-04-30,12.045577878003183,0.42447728076011665,2.2622082196758533,0.816341424596233,5.5443041684029755
2014-05-31,11.80846359324081,0.4176198644473698,2.2540919792057204,0.812747221886027,5.505022809228932
2014-06-30,11.461277915171838,0.3997659565544215,2.285528402914549,0.8265972461526297,5.530610850169584
2014-07-31,12.138323169930493,0.41836749581675875,2.312917526818216,0.8385097262444745,5.650857776603504
2014-08-31,12.51792723820391,0.43825849932760425,2.2769917774051756,0.8228551759223266,5.6198993988425645
2014-09-30,12.545700681544727,0.426979133728524,2.3423277133590457,0.8511451842331293,5.748015069292233
2014-10-31,13.900896269007841,0.46178766946595806,2.399716054469299,0.8753504197168523,5.9936265477194395
2014-11-30,14.843718184052337,0.49120472033401336,2.4090152852355398,0.8792180686667928,6.105748079877493
2014-12-31,18.987856115466013,0.6393962945895199,2.3673648974144026,0.8617774789437382,6.440261129035455
2015-01-31,24.87858534304988,0.8458482084565603,2.3447288907259725,0.8521697835839877,6.98590987569767
2015-02-28,20.94905224348897,0.7796429307553833,2.1420421934663696,0.7617596699951219,6.204129024059892
2015-03-31,20.701862942630758,0.8126126091532448,2.030884658281398,0.7084714903806757,5.966169108109023
2015-04-30,19.784894354096657,0.752093548057097,2.0971102325263593,0.7405603173128094,6.0015172284194165
2015-05-31,18.2350837595185,0.7090425772386795,2.050193415548634,0.7179341377478393,5.756532479249229
2015-06-30,18.552867997694605,0.7032067841407212,2.103233010550623,0.7434756897033942,5.890060330213513
2015-07-31,19.898901241719845,0.7949748919859118,1.9954234468631087,0.6908562818858406,5.8178453079501935
2015-08-31,23.263429311171244,0.9465756979307808,1.9591954873534356,0.6725339233423453,6.084799580325756
2015-09-30,23.207895015978107,0.9101940516402298,2.0326431699291625,0.7093370002685775,6.2201457867680405
2015-10-31,23.44745259459601,0.9291111792632226,2.0118118764795505,0.6990357471103341,6.2041394714815965
2015-11-30,23.586945657715045,0.9511741533215298,1.9768378725086038,0.6814985340015602,6.150995790583928
2015-12-31,27.56024216898618,1.1197982946926999,1.9620163146918743,0.6739726764459458,6.519892249164663
2016-01-31,34.05390688298569,1.4062183346546735,1.9305167532818202,0.6577877148931596,7.108830990512673
2016-02-29,35.80837817560257,1.6609414753147538,1.7186589668803474,0.5415443163059023,6.877857060147045
2016-03-31,31.31717188230707,1.4952872397599404,1.669618681573371,0.5125952659691957,6.33465914880003
2016-04-30,29.005265667653163,1.4380450751338558,1.607917401418404,0.4749398021603189,5.98510280622103
2016-05-31,26.44203762130259,1.3128326623233206,1.6056279977738532,0.4735149559250968,5.724388084390304
2016-06-30,25.599741474932653,1.2940867127860507,1.5769996183463104,0.4555240659683865,5.585238721463739
2016-07-31,28.835862278364644,1.499794713198121,1.532711835604346,0.4270386080548569,5.823890565526435
2016-08-31,28.554880735434306,1.5249314846327033,1.4927579959231412,0.4006254129358213,5.719146269804151
2016-09-30,28.018570843601253,1.5223877253146811,1.4671688317248528,0.38333457892259093,5.616425863587394
2016-10-31,24.63817220333815,1.3322544066646635,1.474282490631731,0.38817142440870855,5.292032610525299
