,omega,omega_pred,delta_omega,M2_GDP
2000-08-01,7.933294976994548,7.9768482848510445,-0.043553307856496026,0.4678727386150967
2000-09-01,9.627023437843617,8.01112483505187,1.6158986027917468,0.4684572142410992
2000-10-01,8.786069449302964,8.045487130218813,0.740582319084151,0.4690431519699812
2000-11-01,8.303105013941458,8.253479699452345,0.04962531448911278,0.4725897920604914
2000-12-01,12.04605845881311,8.464641679264677,3.5814167795484337,0.4761904761904761
2001-01-01,9.988717792535375,8.67904606951559,1.309671723019786,0.4798464491362764
2001-02-01,10.604133060133892,8.80110158083312,1.8030314793007722,0.4819277108433734
2001-03-01,10.974467825382314,8.92422049931606,2.0502473260662537,0.484027105517909
2001-04-01,9.70231532524807,9.048416783152756,0.6538985420953143,0.4861448711716091
2001-05-01,9.292468924447242,9.262532302984138,0.029936621463104274,0.489795918367347
2001-06-01,10.324303933747258,9.47988826167461,0.8444156720726479,0.4935022207599934
2001-07-01,10.932238694333932,9.700558781644634,1.231679912689298,0.4972650422675285
2001-08-01,10.238805742406132,9.860950270773724,0.37785547163240807,0.5
2001-09-01,13.369912843917897,10.023115823633749,3.346797020284148,0.5027652086475616
2001-10-01,14.23841059602649,10.187085037850157,4.051325558176334,0.5055611729019212
2001-11-01,14.476743863450547,10.24716328544644,4.229580578004107,0.5065856129685917
2001-12-01,14.403101406048126,10.307485505621791,4.095615900426335,0.5076142131979695
2002-01-01,14.792868699712407,10.368053187527266,4.424815512185141,0.508646998982706
2002-02-01,14.312591037483417,10.347836594278572,3.9647544432048445,0.5083022704168079
2002-03-01,11.941594558149788,10.327647385511085,1.613947172638703,0.5079580088046055
2002-04-01,11.449221419439748,10.307485505621791,1.141735913817957,0.5076142131979695
2002-05-01,13.678257226644323,10.408568750635506,3.2696884760088167,0.5093378607809848
2002-06-01,12.376628503750494,10.510340808221716,1.8662876955287775,0.5110732538330495
2002-07-01,11.537291179871811,10.612808743124752,0.9244824367470592,0.5128205128205129
2002-08-01,11.335268283616996,10.747069184615999,0.5881990990009971,0.5151098901098901
2002-09-01,11.126760353709528,10.882533755627357,0.24422659808217162,0.5174197999310107
2002-10-01,12.465699725597805,11.019218728179357,1.4464809974184476,0.5197505197505198
2002-11-01,12.30769183344867,11.082720288344138,1.2249715451045322,0.5208333333333334
2002-12-01,11.54050485071433,11.146486990722554,0.3940178599917754,0.5219206680584552
2003-01-01,11.666138352643928,11.210520499387066,0.45561785325686266,0.5230125523012552
2003-02-01,10.300000359030332,11.280193163803272,-0.9801928047729405,0.5242005940940067
2003-03-01,11.975044345685715,11.35018307677899,0.6248612689067254,0.5253940455341506
2003-04-01,14.368644326420153,11.420492410105307,2.9481519163148455,0.526592943654555
2003-05-01,13.71331828442438,11.398824616692906,2.3144936677314742,0.5262234695667426
2003-06-01,11.98060941828255,11.37718720756575,0.6034222107167988,0.5258545135845749
2003-07-01,12.343096234309623,11.355580118857763,0.9875161154518608,0.5254860746190226
2003-08-01,12.366689012739672,11.167801765890822,1.1988872468488498,0.5222841225626741
2003-09-01,13.720184901975236,10.982297938742828,2.737886963232407,0.5191209551825575
2003-10-01,13.791248206599713,10.799027559806117,2.992220646793596,0.5159958720330238
2003-11-01,13.706389906492875,10.747069184615999,2.9593207218768764,0.5151098901098901
2003-12-01,13.719472350067038,10.695288932069666,3.0241834179973726,0.5142269454919438
2004-01-01,13.62004782279144,10.643685887779824,2.9763619350116155,0.513347022587269
2004-02-01,12.03400102903717,10.695288932069666,1.3387120969675053,0.5142269454919438
2004-03-01,13.233198754814763,10.747069184615999,2.4861295701987647,0.5151098901098901
2004-04-01,10.98495600340619,10.799027559806117,0.18592844360007277,0.5159958720330238
2004-05-01,10.64864864864865,10.752256991474237,-0.10360834282558784,0.5151983513652756
2004-06-01,11.81818200191197,10.705630776748329,1.1125512251636405,0.51440329218107
2004-07-01,9.428502531950809,10.659148248354391,-1.2306457164035827,0.5136106831022085
2004-08-01,10.31155763559006,10.612808743124752,-0.30125110753469286,0.5128205128205129
2004-09-01,8.766750674351576,10.566611601966464,-1.7998609276148887,0.5120327700972862
2004-10-01,8.897425249169435,10.520556169830144,-1.6231309206607083,0.5112474437627812
2004-11-01,10.20348152369362,10.383233637063366,-0.17975211336974617,0.5089058524173028
2004-12-01,10.8345715700842,10.24716328544644,0.5874082846377604,0.5065856129685917
2005-01-01,9.47652185560478,10.112328065614228,-0.6358062100094486,0.5042864346949066
2005-02-01,8.707360861759424,10.062699171141116,-1.3553383093816915,0.5034401745259272
2005-03-01,8.055242619448164,10.013236565475076,-1.957993946026912,0.5025967498743508
2005-04-01,8.595139300533491,9.963939414251811,-1.3688001137183203,0.5017561465127948
2005-05-01,8.444218819329995,9.939352624842414,-1.4951338055124186,0.5013368983957219
2005-06-01,7.873916074719732,9.91480688867965,-2.0408908139599173,0.5009183503088996
2005-07-01,7.1925714220593,9.890302103027672,-2.6977306809683723,0.5005005005005005
2005-08-01,6.494011793307916,9.885406050941938,-3.3913942576340226,0.5004170141784821
2005-09-01,7.601296596434359,9.880511631962303,-2.279215035527944,0.5003335557038024
2005-10-01,7.954506688960418,9.875618845271813,-1.9211121563113949,0.5002501250625312
2005-11-01,9.288263025418134,9.802422365740409,-0.5141593403222746,0.499001996007984
2005-12-01,8.863558031983844,9.729590229063817,-0.8660321970799725,0.4977600796416128
2006-01-01,9.033074660436284,9.657119721665655,-0.6240450612293706,0.496524329692155
2006-02-01,9.394445894712906,9.65230114647575,-0.2578552517628445,0.4964421644878372
2006-03-01,8.807144834892048,9.647484165784583,-0.8403393308925349,0.4963600264725347
2006-04-01,9.033956864767411,9.642668778800843,-0.6087119140334316,0.4962779156327543
2006-05-01,9.508657688323222,9.700558781644634,-0.19190109332141247,0.4972650422675285
2006-06-01,8.381147540983607,9.758679536866484,-1.3775319958828778,0.4982561036372695
2006-07-01,8.484281099759615,9.817032426906987,-1.3327513271473723,0.4992511233150274
2006-08-01,9.25066545099117,9.860950270773724,-0.6102848197825548,0.5
2006-09-01,10.130309283904849,9.905000066099248,0.22530921780560043,0.5007511266900351
2006-10-01,10.762515153856004,9.94918240845183,0.8133327454041748,0.5015045135406219
2006-11-01,10.051274462617505,9.963939414251811,0.08733504836569317,0.5017561465127948
2006-12-01,10.773405905818032,9.978711236322681,0.7946946694953514,0.5020080321285141
2007-01-01,11.535739561217268,9.9934978969893,1.5422416642279675,0.5022601707684581
2007-02-01,11.271258198586672,10.03300170660929,1.2382564919773813,0.5029337803855826
2007-03-01,9.68307287863298,10.072611620132907,-0.3895387414999263,0.5036091992613732
2007-04-01,10.12196935891715,10.112328065614228,0.009641293302921738,0.5042864346949066
2007-05-01,9.69492519800528,10.152151473412957,-0.45722627540767746,0.5049654940245749
2007-06-01,8.973968091746572,10.192082276209963,-1.2181141844633903,0.5056463846283499
2007-07-01,8.65991461386914,10.23212090902296,-1.572206295153821,0.5063291139240506
2007-08-01,9.309724719878266,10.237133341679943,-0.9274086218016766,0.5064145847400405
2007-09-01,9.17376791148535,10.242147466868627,-1.0683795553832773,0.5065000844166807
2007-10-01,8.812729498164014,10.24716328544644,-1.4344337872824262,0.5065856129685917
2007-11-01,8.817495346714365,10.439027723002827,-1.621532376288462,0.5098572399728076
2007-12-01,8.912254743958822,10.63338646388701,-1.721131719928188,0.5131713992473487
