,L,GDP,L_over_GDP,omega,M2
2000-08-31,38234.51514162523,10376.9545,3.684560353582087,7.933294976994548,4819.5
2000-09-30,46741.12419541833,10406.349250000001,4.491596723550127,9.627023437843617,4855.2
2000-10-31,42799.58010838953,10444.36575,4.097863013691332,8.786069449302964,4871.3
2000-11-30,40541.57085157196,10452.9875,3.8784673617539447,8.303105013941458,4882.7
2000-12-31,59358.157661647485,10461.60925,5.673903148470919,12.04605845881311,4927.6
2001-01-31,49726.83378657886,10502.42325,4.734796208730101,9.988717792535375,4978.3
2001-02-28,53200.935562691746,10534.6155,5.050107007957884,10.604133060133893,5017.0
2001-03-31,55693.22932025017,10566.80775,5.270582245640853,10.974467825382314,5074.8
2001-04-30,49861.16868798236,10598.755000000001,4.704436387857098,9.70231532524807,5139.1
2001-05-31,47737.27135867037,10598.51,4.504149296332255,9.292468924447242,5137.2
2001-06-30,53480.926807204174,10598.265,5.0461964111299515,10.324303933747258,5180.1
2001-07-31,56956.963597479786,10613.63125,5.366397442673523,10.932238694333932,5210.0
2001-08-31,53690.24955202928,10629.2425,5.051183050158962,10.238805742406132,5243.8
2001-09-30,71597.22027046472,10644.85375,6.725993794932572,13.369912843917895,5355.1
2001-10-31,76087.21854304636,10691.223750000001,7.116792270206331,14.23841059602649,5343.8
2001-11-30,77993.45756433983,10721.9825,7.274163855829817,14.476743863450547,5387.5
2001-12-31,78360.07319960483,10752.74125,7.287450834884066,14.403101406048126,5440.5
2002-01-31,80782.37668225948,10809.49,7.473282891446265,14.792868699712407,5460.9
2002-02-28,78578.98731399146,10835.48,7.252007969558474,14.312591037483417,5490.2
2002-03-31,65702.65325894013,10861.47,6.049149264228519,11.941594558149788,5502.0
2002-04-30,62994.76117189943,10911.605,5.773189294507951,11.449221419439747,5502.1
2002-05-31,75617.50942605782,10935.75,6.914707214965395,13.678257226644323,5528.3
2002-06-30,68731.13106987762,10959.895,6.271148680701559,12.376628503750494,5553.3
2002-07-31,64562.681442562665,11003.38825,5.867527344821506,11.537291179871813,5596.0
2002-08-31,63911.64316351771,11022.7365,5.798164835339909,11.335268283616996,5638.3
2002-09-30,63003.055150809465,11042.084750000002,5.705721027979744,11.126760353709528,5662.3
2002-10-31,71142.99490395923,11089.607,6.415285492439835,12.465699725597805,5707.1
2002-11-30,70868.92034618079,11117.781,6.374376356773063,12.30769183344867,5758.1
2002-12-31,66697.1937342184,11145.955000000002,5.983981967827646,11.54050485071433,5779.4
2003-01-31,67804.76271940177,11208.788250000001,6.049250035515816,11.666138352643927,5812.1
2003-02-28,60236.46209968119,11243.4475,5.357472616800246,10.300000359030332,5848.2
2003-03-31,70274.35023822206,11278.106749999999,6.231041414661381,11.975044345685717,5868.4
2003-04-30,84854.02906967422,11376.24175,7.458880615795126,14.368644326420153,5905.5
2003-05-31,81804.05756207676,11439.717499999999,7.150880916602772,13.71331828442438,5965.3
2003-06-30,71910.01385041552,11503.19325,6.25130885725279,11.98060941828255,6002.2
2003-07-31,74664.62343096235,11618.06025,6.426599778647417,12.343096234309623,6049.1
2003-08-31,75524.60646970247,11669.4515,6.471992832713901,12.366689012739673,6107.1
2003-09-30,83414.60814853884,11720.84275,7.11677563872605,13.720184901975236,6079.7
2003-10-31,83712.87661406025,11810.037250000001,7.088282182518962,13.791248206599713,6070.0
2003-11-30,83273.17187689747,11847.8405,7.0285527457005745,13.706389906492875,6075.5
2003-12-31,83329.33115983718,11885.64375,7.010922833677998,13.719472350067038,6073.8
2004-01-31,82838.49286299982,11970.789,6.920052877299885,13.62004782279144,6082.1
2004-02-29,73669.74749955976,12018.131000000001,6.129883881242412,12.03400102903717,6121.8
2004-03-31,81488.71461227383,12065.473,6.753876504657035,13.233198754814765,6157.9
2004-04-30,68094.64376951463,12160.938,5.599456536125308,10.98495600340619,6198.9
2004-05-31,66827.72432432433,12209.061000000002,5.473617039371359,10.64864864864865,6275.7
2004-06-30,74193.36478980315,12257.184000000001,6.053051401513034,11.81818200191197,6277.9
2004-07-31,59315.65227875573,12360.78375,4.798696707136854,9.428502531950809,6291.1
2004-08-31,65146.35883013089,12416.2605,5.246858249319986,10.311557635590061,6317.8
2004-09-30,55688.15363361608,12471.73725,4.465148079800677,8.766750674351576,6352.2
2004-10-31,56763.79360465117,12587.232,4.509632745678412,8.897425249169435,6379.8
2004-11-30,65366.56368523844,12647.25,5.168440861470947,10.20348152369362,6406.3
2004-12-31,69606.70505200594,12707.268,5.477708115702442,10.834571570084199,6424.5
2005-01-31,60941.61674902322,12806.1285,4.758785354139092,9.47652185560478,6430.8
2005-02-28,56065.82585278276,12844.971000000001,4.3648075073725545,8.707360861759424,6438.9
2005-03-31,51942.620982987595,12883.8135,4.031618509767127,8.055242619448164,6448.3
2005-04-30,55540.07113218732,12977.6525,4.279670081487181,8.595139300533491,6461.8
2005-05-31,54710.09373043904,13032.649000000001,4.197925819258927,8.444218819329995,6479.0
2005-06-30,51272.57930375248,13087.6455,3.9176320373097266,7.873916074719732,6511.7
2005-07-31,47064.59110024503,13188.0325,3.5687348435215815,7.1925714220593,6543.5
2005-08-31,42706.56975633085,13233.422999999999,3.2271748402760836,6.494011793307916,6576.3
2005-09-30,50245.33063209076,13278.8135,3.7838720027275596,7.601296596434359,6610.1
2005-10-31,52848.94699078412,13392.943,3.9460294119659975,7.954506688960418,6643.9
2005-11-30,61866.33353340256,13461.682,4.595735773093033,9.288263025418134,6660.7
2005-12-31,59277.70340630155,13530.421,4.381068660487471,8.863558031983844,6687.8
2006-01-31,60793.49577220224,13637.726,4.457744331584476,9.033074660436284,6730.1
2006-02-28,63456.663685017265,13676.292000000001,4.63990266404207,9.394445894712906,6754.7
2006-03-31,59618.20553083474,13714.858,4.346979424127814,8.807144834892048,6769.3
2006-04-30,61493.24098278529,13782.615000000002,4.461652667711119,9.033956864767411,6806.9
2006-05-31,64789.140890927934,13811.806,4.690852223882086,9.508657688323222,6813.7
2006-06-30,57425.94672131148,13840.997,4.148974724964646,8.381147540983607,6851.8
2006-07-31,58487.24018930289,13912.530999999999,4.2039252375648175,8.484281099759615,6893.6
2006-08-31,64061.78331465895,13954.874,4.5906386051682695,9.25066545099117,6925.1
2006-09-30,70429.96226542006,13997.217,5.031711822815925,10.130309283904849,6952.4
2006-10-31,75355.90235275358,14083.58275,5.350620200158485,10.762515153856004,7001.7
2006-11-30,70732.8286483319,14127.6055,5.006710347930645,10.051274462617503,7037.2
2006-12-31,76276.79115378225,14171.62825,5.382359021009618,10.773405905818032,7080.1
2007-01-31,82114.85491861288,14262.25875,5.757493000091088,11.535739561217268,7118.3
2007-02-28,80412.5373661769,14308.8665,5.619769907433052,11.271258198586672,7134.3
2007-03-31,69410.20300861691,14355.47425,4.835103445545654,9.683072878632979,7168.2
2007-04-30,73290.1435371114,14442.59075,5.074584249166751,10.12196935891715,7240.7
2007-05-31,70332.8043414491,14483.0995,4.8561983808403095,9.69492519800528,7254.6
2007-06-30,65400.48465903067,14523.608250000001,4.5030465937437185,8.973968091746572,7287.8
2007-07-31,63379.31708452407,14601.85225,4.340498451799091,8.65991461386914,7318.7
2007-08-31,68843.55235855581,14639.587500000001,4.702560940228391,9.309724719878266,7394.8
2007-09-30,68005.1415278409,14677.322750000001,4.633347830948317,9.17376791148535,7413.0
2007-10-31,65461.835985312115,14712.928,4.4492731824224325,8.812729498164014,7428.1
2007-11-30,65722.08331627019,14710.798,4.4676083048839486,8.817495346714365,7453.6
2007-12-31,66698.42327831342,14708.668000000001,4.534633814449644,8.912254743958822,7483.9
2008-01-31,75741.39923308973,14746.32875,5.136288531007403,10.075344094857297,7517.5
2008-02-29,73259.14979539612,14786.1195,4.954589322465311,9.634291135638627,7604.0
2008-03-31,68672.47233096775,14825.910249999999,4.631922841362658,8.953386223072718,7670.0
2008-04-30,59884.31340760683,14874.0255,4.026099955765629,7.764578723838811,7712.5
2008-05-31,53614.15616502341,14882.349999999999,3.6025329443954357,6.940164159506991,7725.2
2008-06-30,51823.70140556379,14890.6745,3.4802789763192927,6.692196619993,7743.9
2008-07-31,57376.13110567964,14826.3015,3.8698883268817674,7.364222598018231,7791.2
2008-08-31,57038.944794381496,14753.604,3.866102465159123,7.307251632681019,7805.8
2008-09-30,73589.09512509231,14680.906500000001,5.0125716096000135,9.347733235746698,7872.4
2008-10-31,95273.47037750242,14563.88225,6.541763297866709,11.946666463216145,7974.9
2008-11-30,137293.3256074149,14519.5555,9.455752664564345,17.1039399037517,8027.0
