expiry,strike,T,price,delta,gamma,theta,convexity,price_per_contract,payout_227,roi_227
2026-05,95,0.15,6.505221073800731,0.5028133704338504,0.021899314914803174,-0.06556482390888291,0.003366421320099474,6505.221073800731,132000,20.291393405770588
2026-05,100,0.15,4.6282929003232836,0.3988009142814289,0.021226544061645324,-0.06355060096675304,0.004586257723698226,4628.292900323284,127000,27.4399228257851
2026-05,105,0.15,3.2140646022270363,0.3059254347731273,0.019306937086284486,-0.05780344888444197,0.006007015874200738,3214.064602227036,122000,37.958166713720004
2026-05,110,0.15,2.1824873365582222,0.22754719897325848,0.01662602238178658,-0.04977700142711429,0.00761792387212921,2182.487336558222,117000,53.60855847370402
2026-05,115,0.15,1.4518872249327848,0.16454313842195464,0.013656315612330402,-0.040885933274621734,0.009405906586830546,1451.8872249327849,112000,77.14097767144762
2026-05,120,0.15,0.9480147209001099,0.11598275725968113,0.010766453590264615,-0.03223391400667495,0.011356842201819619,948.0147209001099,107000,112.86744566414211
2026-08,110,0.4,6.069032204399738,0.3552592814416521,0.01246401021269203,-0.037316264822570853,0.0020537063889125946,6069.032204399738,117000,19.278197257740864
2026-08,120,0.4,4.009857021585374,0.25983913107961776,0.010881739834962609,-0.03257907194253489,0.0027137475915937534,4009.857021585374,107000,26.684243209673223
2026-08,130,0.4,2.6150623166056097,0.18533527662254728,0.008983077276568392,-0.02689462579489042,0.003435129334978358,2615.06231660561,97000,37.092806310599684
2026-08,140,0.4,1.6890067708542718,0.12959982204017848,0.0071042745741062745,-0.02126963849160294,0.004206184780723555,1689.0067708542717,87000,51.509562602876265
2026-08,150,0.4,1.0833468561395758,0.08923539436237732,0.005435121664174652,-0.016272326153640704,0.005016972757499196,1083.3468561395757,77000,71.07603586388173
2026-08,160,0.4,0.6916047307142043,0.06071554642717407,0.004052234044750058,-0.012132069547163081,0.005859176296503075,691.6047307142043,67000,96.8761447464517
2026-10,130,0.55,4.0568550253729265,0.23566510659089102,0.008789379349878983,-0.026314709459410807,0.0021665500233326723,4056.8550253729263,97000,23.910146996461446
2026-10,150,0.55,2.0391618085795034,0.1350073705995831,0.006219142040887284,-0.01861962140648865,0.0030498521572545484,2039.1618085795033,77000,37.76061304994665
2026-10,170,0.55,1.019574541338821,0.07514136014009981,0.004067313105871689,-0.012177215068426976,0.003989225839761387,1019.5745413388211,57000,55.90567211020423
2026-10,190,0.55,0.5108899564810067,0.04118612920219272,0.00253453683356049,-0.007588203641504861,0.004961023017595212,510.88995648100666,37000,72.42264117864988
2026-10,200,0.55,0.3624949476806598,0.030405778669127397,0.0019769989931836237,-0.005918979263068335,0.005453866338918639,362.49494768065983,27000,74.48379673359108
2026-10,220,0.55,0.18372416833355,0.016544355753094615,0.0011842980204649807,-0.003545694989523965,0.00644606548614168,183.72416833354998,7000,38.10059429574637
2026-10,230,0.55,0.13130919605990324,0.012208084485717582,0.0009117096560625407,-0.002729586897504365,0.0069432277663677025,131.30919605990323,0,0.0
2026-12,150,0.7,3.07018318774063,0.1736614330234022,0.006491264750153343,-0.019434335363708238,0.002114292324989999,3070.18318774063,77000,25.07993669806552
2026-12,170,0.7,1.7359456009605507,0.10817241435859895,0.004712481673702904,-0.01410879894244151,0.0027146482419122737,1735.9456009605508,57000,32.83513029927907
2026-12,200,0.7,0.7469860693816482,0.05238271204413729,0.0027204875121310365,-0.008144925326345052,0.003641952137585436,746.9860693816482,27000,36.14525237712998
2026-12,220,0.7,0.4306950713467745,0.03224342442516947,0.0018374880868768954,-0.005501294598458746,0.004266331818311987,430.69507134677445,7000,16.25279801347888
2026-12,230,0.7,0.3283377232536665,0.02531767832420867,0.0015032537751411652,-0.00450062339579721,0.004578376679489199,328.3377232536665,0,0.0
2026-12,240,0.7,0.25100001083846696,0.01989864215374819,0.0012273162363542203,-0.003674488139475233,0.004889705909790057,251.00001083846695,0,0.0
2027-03,150,0.9,4.464821478399309,0.21591796682683784,0.006503916332909863,-0.019472213205952483,0.0014567024380203423,4464.821478399309,77000,17.245930295874988
2027-03,170,0.9,2.8013341395564253,0.14769734645771343,0.005140929241554075,-0.01539153721300552,0.001835171737980572,2801.3341395564253,57000,20.347447737536093
2027-03,200,0.9,1.4144879878583612,0.08295987372294361,0.0034143175107721924,-0.010222197691283632,0.002413818668012671,1414.487987858361,27000,19.088179066744843
2027-03,220,0.9,0.9079727117160143,0.05651702655271485,0.0025430358876679113,-0.007613649140056439,0.002800784489284623,907.9727117160144,7000,7.709482795766424
2027-03,230,0.9,0.7302773656111922,0.04670070159743831,0.0021861569015002545,-0.0065451815658015755,0.0029935980552684813,730.2773656111922,0,0.0
2027-06,150,1.15,6.163273013668643,0.2576614269353767,0.006296307966456443,-0.01885065010950474,0.0010215851143528382,6163.273013668643,77000,12.49336185971848
2027-06,200,1.15,2.405091862299319,0.11945366922257636,0.003923166587505019,-0.011745651746443752,0.0016311919927060035,2405.091862299319,27000,11.226182427056
2027-06,220,1.15,1.6788471564512886,0.0879914492468708,0.003147748775058558,-0.009424111893409477,0.0018749466042592003,1678.8471564512886,7000,4.169527865059766
2027-06,227,1.15,1.4837828917692686,0.07912617701332017,0.002907866427077931,-0.00870592303839796,0.0019597654368494434,1483.7828917692686,0,0.0
2027-06,230,1.15,1.4077933912952243,0.07561676097872232,0.002809982586231487,-0.008412866528932266,0.001996019162759526,1407.7933912952242,0,0.0
2027-06,240,1.15,1.1833429515000136,0.06504899586634336,0.002504428147309058,-0.007498060606442675,0.0021164009504889753,1183.3429515000137,0,0.0
