expiry,T_days,F,K,IV,price,cost_lot,delta,gamma,theta,convexity,payout_227,roi_227
2026-08,146,82,150,0.72,2.101349655534564,2101.3496555345637,0.13382778186113117,0.005750928197766896,-0.027460458409596086,0.0027367783284519176,77000,36.64311638817288
2026-08,146,82,155,0.73,1.9300451300421086,1930.0451300421087,0.12344727063391765,0.005364192667809301,-0.026330246993795315,0.0027793094494594894,72000,37.3048271666213
2026-08,146,82,160,0.74,1.782106144625006,1782.106144625006,0.11434372774504312,0.005013921155898396,-0.025289822691367154,0.0028134806509818944,67000,37.5959648655486
2026-08,146,82,170,0.75,1.4536289700102232,1453.6289700102232,0.09528709740547371,0.004336653392568792,-0.022468914101429194,0.0029833289525994333,57000,39.21220694961736
2026-08,146,82,200,0.81,1.0430945365658817,1043.0945365658818,0.06777477047924271,0.003106282339578172,-0.0187722275511143,0.0029779490071962234,27000,25.884518663946317
2026-10,204,81,155,0.65,2.2092589942063587,2209.2589942063587,0.13458912059418174,0.005460425229209976,-0.0207348241026544,0.002471609369263447,72000,32.590112878940594
2026-10,204,81,160,0.61,1.4909589696476084,1490.9589696476085,0.10100665156882484,0.004752114397492976,-0.01589255541822208,0.0031872871717027527,67000,44.93752099417974
2026-10,204,81,190,0.65,0.9268354348709623,926.8354348709623,0.06412484360088735,0.0031685342752000452,-0.01203184699024071,0.0034186589722275573,37000,39.92078702207937
2026-10,204,81,220,0.69,0.6624159405351954,662.4159405351953,0.04574380606721061,0.002286281615182016,-0.009783068246190824,0.0034514290422039467,7000,10.567378548204001
2026-10,204,81,230,0.7,0.5898890845590229,589.8890845590229,0.04085542787423122,0.00205739118300605,-0.009060666219636056,0.003487759371821691,0,0.0
2027-04,365,78,140,0.5900000000000001,4.88053294295874,4880.53294295874,0.23355364621361877,0.0065354762113706485,-0.018960404868054385,0.0013390906869708839,87000,17.825922090233394
2027-04,365,78,145,0.5950000000000001,4.541470026477679,4541.470026477679,0.2193187105299556,0.006259610590128957,-0.01846917912426403,0.001378322559355049,82000,18.05582763332656
2027-04,365,78,150,0.6000000000000001,4.23892351533788,4238.9235153378795,0.20637725660357686,0.005995327124775752,-0.017987952440779244,0.001414351333087894,77000,18.164989229314372
2027-04,365,78,155,0.6050000000000001,3.968354852297253,3968.354852297253,0.1946022670882645,0.005743390962904272,-0.017520458816529822,0.0014472977283217158,72000,18.14353874082599
2027-04,365,78,160,0.6100000000000001,3.725852475863546,3725.8524758635463,0.1838786950916109,0.005504160833960044,-0.017069355795328475,0.0014772889881219298,67000,17.98246184840459
2027-04,365,78,165,0.615,3.5080402454636235,3508.0402454636233,0.17410276185616008,0.005277692889008939,-0.016636451247506644,0.0015044561976829424,62000,17.67368549439377
2027-04,365,78,170,0.6200000000000001,3.3119993388797364,3311.9993388797366,0.16518113437097917,0.005063822275056681,-0.01622288834373069,0.0015289321515291993,57000,17.21014836291601
2027-04,365,78,175,0.625,3.1352017852670624,3135.2017852670624,0.1570300549779774,0.004862226651924902,-0.015829295243103118,0.0015508496693174497,52000,16.58585429631941
2027-04,365,78,180,0.63,2.975453974234539,2975.453974234539,0.14957447057177134,0.00467247522169801,-0.015455905408017761,0.0015703402782091577,47000,15.795908929188242
2027-04,365,78,185,0.635,2.8308486735543763,2830.848673554376,0.14274719164147934,0.0044940662371188815,-0.015102653724499175,0.0015875331942333008,42000,14.836540148670453
2027-04,365,78,190,0.64,2.699724277268076,2699.7242772680756,0.13648809926565983,0.004326455416285201,-0.014769252858489568,0.001602554547038136,37000,13.705103262412155
2027-04,365,78,195,0.645,2.5806301826215354,2580.6301826215354,0.1307434098140932,0.004169077226918631,-0.01445525357486652,0.0016155268023268139,32000,12.40007197292127
2027-04,365,78,200,0.65,2.4722973538018396,2472.2973538018396,0.1254650014661454,0.004021360613714978,-0.014160092114997554,0.0016265683444311528,27000,10.921016421620987
2027-04,365,78,205,0.655,2.3736132713481526,2373.6132713481525,0.12060980294068724,0.0038827404206833037,-0.013883127180077474,0.0016357931881961568,22000,9.268569680478976
2027-04,365,78,210,0.66,2.2836005886305397,2283.6005886305397,0.11613924247509419,0.0037526654984814164,-0.013623668600666666,0.0016433107948758522,17000,7.444384138206405
2027-04,365,78,215,0.665,2.20139892215927,2201.39892215927,0.11201875367713895,0.0036306042755898283,-0.013380999381645452,0.0016492259712877046,12000,5.451079256561845
2027-04,365,78,220,0.67,2.126249292381224,2126.249292381224,0.10821733410668147,0.0035160484032249976,-0.01315439248769268,0.0016536388352126447,7000,3.2921821656013703
2027-04,365,78,225,0.675,2.0574808078689455,2057.4808078689457,0.10470715211248133,0.0034085149495660027,-0.012943123468196338,0.0016566448331036454,2000,0.9720625302315787
2027-04,365,78,230,0.68,1.9944992502111576,1994.4992502111577,0.10146319740370707,0.0033075475126002913,-0.012746479803320089,0.001658334798697027,0,0.0
2027-04,365,78,235,0.685,1.936777271151399,1936.7772711513992,0.09846297097114222,0.0032127165371753524,-0.01256376767668184,0.0016587950432036087,0,0.0
