Date,Open,High,Low,Close,Volume
2000-08-30,2.587297798882068,2.6234837820832158,2.5149258324797725,2.569204807281494,584400
2000-08-31,2.587298310485907,2.876786233337477,2.5692053153076837,2.845123767852783,2077600
2000-09-01,2.7320408974924395,2.8586918000252015,2.7320408974924395,2.804412841796875,852800
2000-09-05,2.7863206832836833,2.8586926490832596,2.7501347003838954,2.8225066661834717,1212400
2000-09-06,2.840599535396264,2.912971498081519,2.768227572711009,2.8767855167388916,1402800
2000-09-07,2.8405999038126564,2.894878882866401,2.786320924758911,2.786320924758911,762000
2000-09-08,2.8044136717349666,2.8767856374571594,2.7863206803044185,2.8586926460266113,933200
2000-09-11,2.8586935847997665,2.9491585716605186,2.840600587427616,2.8948795795440674,998800
2000-09-12,2.9129712596261426,2.949157238006592,2.8767852812456938,2.949157238006592,1870200
2000-09-13,2.9491585138298215,3.057716495933987,2.9129725197950997,3.039623498916626,2172200
2000-09-14,3.0215305611491203,3.0758095532655716,2.8586935847997665,2.8948795795440674,1240000
2000-09-15,2.82250654472495,2.8948785074102052,2.7863205633823225,2.8767855167388916,2215200
2000-09-18,2.858692655437871,2.858692655437871,2.7501347064971924,2.7501347064971924,561600
2000-09-19,2.7863214538521963,2.804414450305782,2.6415774822235107,2.6415774822235107,579800
2000-09-20,2.64157740503764,2.6777633968874706,2.514926433563233,2.5149264335632324,839800
2000-09-21,2.533020339645706,2.6053923493498687,2.5149273372196648,2.587299346923828,761200
2000-09-22,2.6596700052420297,2.677762998474969,2.569205039077335,2.605391025543213,667600
2000-09-25,2.6234853517759094,2.6234853517759094,2.5511133420717464,2.587299346923828,495200
2000-09-26,2.5692054213379785,2.587298417262894,2.514926433563233,2.5149264335632324,262800
2000-09-27,2.514926059378518,2.641577012009091,2.496833066145579,2.605391025543213,832400
2000-09-28,2.6053910391671318,2.6234840324946815,2.5149260725293843,2.5330190658569336,773200
2000-09-29,2.5330196542942773,2.587298646886298,2.514926656763604,2.551112651824951,801600
2000-10-02,2.533020339645706,2.587299346923828,2.4787413323675835,2.587299346923828,434400
2000-10-03,2.587299346923828,2.6777643590540317,2.5511133420717464,2.587299346923828,969400
2000-10-04,2.587299346923828,2.7139503639061133,2.5511133420717464,2.587299346923828,1279600
2000-10-05,2.5872980458395824,2.6053910391671318,2.533019065856934,2.5330190658569336,388000
2000-10-06,2.5330185890197754,2.6415765285491943,2.460646629333496,2.460646629333496,639400
2000-10-09,2.4606476641715838,2.5692056493556246,2.4606476641715838,2.551112651824951,323600
2000-10-10,2.5149245105520652,2.5872964389132758,2.4425525821908547,2.47873854637146,821200
2000-10-11,2.4968326091766357,2.551111578941345,2.4425536394119263,2.460646629333496,1048200
2000-10-12,2.442554449863571,2.6053914131878093,2.424461453938656,2.5149264335632324,1925800
2000-10-13,2.5330185890197754,2.5330185890197754,2.4063676595687866,2.460646629333496,515000
2000-10-16,2.442553764165834,2.442553764165834,2.315902828246124,2.333995819091797,867400
2000-10-17,2.2616245615200734,2.370182540473037,2.243531565027913,2.2978105545043945,1455000
2000-10-18,2.315902828246124,2.3520888099374697,2.297809837400451,2.333995819091797,1203600
2000-10-19,2.3520888099374697,2.4063677824744882,2.333995819091797,2.333995819091797,621600
2000-10-20,2.2978099565953016,2.3701819237321615,2.2978099565953016,2.3159029483795166,680000
2000-10-23,2.31590380859375,2.3520898056030273,2.261624813079834,2.261624813079834,626600
2000-10-24,2.2797178115844723,2.31590380859375,2.2254388160705565,2.261624813079834,1075800
2000-10-25,2.2616256629267046,2.2616256629267046,2.2254396523198774,2.243532657623291,549800
2000-10-26,2.2616256629267046,2.2797186682301183,2.2254396523198774,2.243532657623291,1257600
2000-10-27,2.243532657623291,2.2616256629267046,2.2254396523198774,2.243532657623291,518600
2000-10-30,2.2616238557091055,2.3520888099374697,2.2616238557091055,2.333995819091797,1211000
2000-10-31,2.352089543980876,2.352089543980876,2.279717558012234,2.2978105545043945,871400
2000-11-01,2.225438493490219,2.297810477018356,2.153066509962082,2.171159505844116,1079400
2000-11-02,2.1711583215682233,2.2254372796074287,2.1530653355551546,2.2073442935943604,1042000
2000-11-03,2.2073454976081845,2.2073454976081845,2.1349735140800474,2.171159505844116,338200
2000-11-06,2.1892523865739837,2.261624366295438,2.134973401782893,2.153066396713257,791800
2000-11-07,2.1892523865739837,2.2073453815043473,2.134973401782893,2.153066396713257,631200
2000-11-08,2.1711583215682233,2.2254372796074287,2.1530653355551546,2.2073442935943604,752800
2000-11-09,2.2073454976081845,2.2435314893722533,2.153066509962082,2.171159505844116,528600
2000-11-10,2.171159890981821,2.2073458891648516,2.0987878946157603,2.1168808937072754,678600
2000-11-13,2.0987875587061833,2.0987875587061833,2.0264155739232117,2.0626015663146973,741800
2000-11-14,2.044509172439575,2.098788177017617,1.9902301678615333,2.044509172439575,1203800
2000-11-15,2.0264155739232117,2.0806945625104403,2.0264155739232117,2.0626015663146973,575600
2000-11-16,2.0626007286277974,2.0626007286277974,1.9902287732373485,2.008321762084961,1378800
2000-11-17,2.0264152420891657,2.0264152420891657,1.9540432691574097,1.9540432691574097,1729600
2000-11-20,1.9540441648095053,2.044509172439575,1.9540441648095053,2.044509172439575,710800
2000-11-21,2.044509172439575,2.1711601831216725,2.026416170913561,2.044509172439575,1221400
2000-11-22,2.0626022569064437,2.1349742659207047,2.044509254652878,2.098788261413574,804800
2000-11-24,2.0806945380517994,2.153066521984036,2.0806945380517994,2.1349735260009766,524800
2000-11-27,2.1711583215682233,2.2435302656204974,2.1530653355551546,2.2073442935943604,916000
2000-11-28,2.2254396523198774,2.2797186682301183,2.18925364171305,2.243532657623291,745600
2000-11-29,2.261624813079834,2.3520898056030273,2.2435318145751952,2.261624813079834,604000
2000-11-30,2.2616238557091055,2.3520888099374697,2.2616238557091055,2.333995819091797,1129200
2000-12-01,2.35208915240729,2.460647113287627,2.3339961589272344,2.4244611263275146,947600
2000-12-04,2.406368099980884,2.641577012009091,2.3882751067479453,2.605391025543213,1671400
2000-12-05,2.641577025822231,2.641577025822231,2.5149260725293843,2.5330190658569336,1769200
2000-12-06,2.5330196542942773,2.551112651824951,2.478740661702257,2.551112651824951,719200
2000-12-07,2.5511118156809203,2.605390790482642,2.5330188240803464,2.569204807281494,697200
2000-12-08,2.551112651824951,2.5692056493556246,2.4968336592329305,2.551112651824951,657400
2000-12-11,2.569204950691166,2.569204950691166,2.370182031975653,2.4063680171966553,1010400
2000-12-12,2.4063693411422498,2.4063693411422498,2.370183336012291,2.3882763385772705,625600
2000-12-13,2.3882754189627513,2.3882754189627513,2.2254384585789273,2.279717445373535,734200
2000-12-14,2.279717654448289,2.3701826407359197,2.279717654448289,2.3520896434783936,609600
2000-12-15,2.3520889319479465,2.4063679073005915,2.3159029483795166,2.3159029483795166,2425400
2000-12-18,2.315904328317353,2.4425553462722083,2.315904328317353,2.3882763385772705,1074400
2000-12-19,2.406368635250972,2.406368635250972,2.3159036489633413,2.3520896434783936,1045800
2000-12-20,2.352089039365152,2.442554002417658,2.352089039365152,2.4063680171966553,1217000
2000-12-21,2.424461669110237,2.5692056493556246,2.38827567404889,2.551112651824951,1256200
2000-12-22,2.569204807281494,2.587297798882068,2.5149258324797725,2.569204807281494,715800
2000-12-26,2.5511133420717464,2.6053923493498687,2.533020339645706,2.587299346923828,603000
2000-12-27,2.5511120591844834,2.5511120591844834,2.406368112564087,2.5330190658569336,1596400
2000-12-28,2.514926507048411,2.6415774822235107,2.514926507048411,2.6415774822235107,2058400
