# artifact=p124-s8-final-recon-c3-terminal-bridge-20260719.tsv
# source=/tmp/p125_audit.out Trend terminal events joined by (side,level,turn_source,window) to v3/p124 CERT terminal rung
# baseline_trend=465 type1=95 type2=239 type3=131
# s8_keep_trend=107 type1=87 type2=19 type3=1
# s8_drop_trend=358 type1=8 type2=220 type3=130
# anomaly_non_type1_survivors=20 expected_zero_under_acceptance_P1
# type1_drops=8 owner_B_failure_inferred_not_directly_emitted
# row_order=anomaly_non_type1_survivors,type1_drops,expected_non_type1_drops,type1_keeps
p125_line	level	side	turn_source	window	old_bits	old_class	s8_status	v3_cert_count	s8_cert_count	cert_delta	adjudication
614	1	Short	3779130	[3778864,3779130]	000010	type2	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
615	1	Short	3797099	[3796564,3797099]	000010	type2	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
616	1	Short	3800996	[3799067,3800996]	000001	type3	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
617	1	Short	3823837	[3821469,3823837]	000001	type3	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
618	1	Short	3847605	[3832115,3847605]	000001	type3	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
619	1	Short	3844908	[3834426,3844908]	000001	type3	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
620	1	Short	3872151	[3870121,3872151]	000001	type3	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
621	1	Short	3878128	[3874849,3878128]	000001	type3	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
622	1	Short	4073698	[3898945,4073698]	000001	type3	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
623	1	Short	3957492	[3956141,3957492]	000010	type2	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
624	1	Short	3972852	[3971407,3972852]	000001	type3	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
625	1	Short	3982602	[3975461,3982602]	000010	type2	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
626	1	Short	4000813	[3999971,4000813]	000001	type3	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
629	1	Short	4079939	[4079610,4079939]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
630	1	Short	4091016	[4089584,4091016]	000001	type3	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
631	1	Short	4091879	[4091393,4091879]	000010	type2	DROP	9	0	-9	P1_NON_TYPE1_EXPECTED_DROP
633	1	Short	4172305	[4172028,4172305]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
634	1	Short	4185218	[4184278,4185218]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
635	1	Short	4194694	[4191100,4194694]	000001	type3	DROP	8	0	-8	P1_NON_TYPE1_EXPECTED_DROP
636	1	Short	4232719	[4231755,4232719]	000010	type2	DROP	8	0	-8	P1_NON_TYPE1_EXPECTED_DROP
637	1	Short	4264740	[4264457,4264740]	000010	type2	DROP	8	0	-8	P1_NON_TYPE1_EXPECTED_DROP
638	1	Short	4301483	[4301293,4301483]	000010	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
639	1	Short	4321400	[4321166,4321400]	000010	type2	DROP	8	0	-8	P1_NON_TYPE1_EXPECTED_DROP
641	1	Short	4392305	[4387996,4392305]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
642	1	Short	4398188	[4394318,4398188]	000001	type3	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
643	1	Short	4402913	[4402202,4402913]	000001	type3	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
644	1	Short	4414736	[4412397,4414736]	000001	type3	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
645	1	Short	4460062	[4459108,4460062]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
646	1	Short	4476503	[4475786,4476503]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
647	1	Short	4486127	[4484022,4486127]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
648	1	Short	4539804	[4538559,4539804]	000001	type3	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
649	1	Short	4548626	[4547213,4548626]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
650	1	Short	4602812	[4602225,4602812]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
651	1	Short	4604442	[4604287,4604442]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
956	2	Long	394481	[389690,394481]	010000	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
957	2	Long	443309	[431013,443309]	001000	type3	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
959	2	Long	554749	[551523,554749]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
960	2	Long	664175	[658962,664175]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
961	2	Long	682374	[678260,682374]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
962	2	Long	758060	[747687,758060]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
965	2	Long	1169722	[1166313,1169722]	010000	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
967	2	Long	1323738	[1314840,1323738]	010000	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
968	2	Long	1390041	[1387783,1390041]	010000	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
969	2	Long	1487858	[1477222,1487858]	010000	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
970	2	Long	1963252	[1958258,1963252]	010000	type2	DROP	3	0	-3	P1_NON_TYPE1_EXPECTED_DROP
971	2	Long	1973211	[1967243,1973211]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
972	2	Long	2054980	[2015512,2054980]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
974	2	Long	2301533	[2254836,2301533]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
976	2	Long	2301533	[2300890,2301533]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
977	2	Long	2433420	[2431613,2433420]	010000	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
978	2	Long	2532644	[2530734,2532644]	010000	type2	DROP	3	0	-3	P1_NON_TYPE1_EXPECTED_DROP
979	2	Long	2646020	[2636710,2646020]	010000	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
980	2	Long	2978047	[2976801,2978047]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
981	2	Long	3183862	[3149629,3183862]	001000	type3	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
982	2	Long	3612390	[3520899,3612390]	010000	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
983	2	Long	3610419	[3597828,3610419]	001000	type3	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
984	2	Long	3695153	[3690137,3695153]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
985	2	Long	3868769	[3854721,3868769]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
989	2	Long	4009316	[3972825,4009316]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
990	2	Long	4119711	[4108066,4119711]	001000	type3	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
992	2	Long	4287986	[4279806,4287986]	010000	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
994	2	Long	4607337	[4565898,4607337]	010000	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
1040	2	Short	92905	[82483,92905]	000010	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
1041	2	Short	109362	[95283,109362]	000010	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
1043	2	Short	373607	[372341,373607]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
1044	2	Short	440920	[438979,440920]	000010	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
1045	2	Short	464187	[457812,464187]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
1047	2	Short	843840	[825573,843840]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1051	2	Short	1295929	[1146861,1295929]	000010	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
1052	2	Short	1423155	[1415668,1423155]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1055	2	Short	1662435	[1649623,1662435]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1056	2	Short	1668207	[1667010,1668207]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1057	2	Short	1698502	[1688637,1698502]	000001	type3	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1060	2	Short	1765454	[1761342,1765454]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1061	2	Short	1916237	[1871990,1916237]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1062	2	Short	1899358	[1878219,1899358]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1066	2	Short	2119184	[2111966,2119184]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1067	2	Short	2142418	[2138951,2142418]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1069	2	Short	2207274	[2202114,2207274]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1071	2	Short	2726712	[2722753,2726712]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1073	2	Short	2963193	[2945049,2963193]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1077	2	Short	3442610	[3438169,3442610]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
1078	2	Short	3539676	[3523621,3539676]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
1080	2	Short	3643968	[3633574,3643968]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1081	2	Short	3713522	[3710967,3713522]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1084	2	Short	3944682	[3936043,3944682]	000010	type2	DROP	7	0	-7	P1_NON_TYPE1_EXPECTED_DROP
1087	2	Short	4302360	[4292488,4302360]	000010	type2	DROP	6	0	-6	P1_NON_TYPE1_EXPECTED_DROP
1088	2	Short	4539136	[4514151,4539136]	000010	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
1089	2	Short	4571850	[4558273,4571850]	000010	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
1173	3	Long	241571	[185829,241571]	010000	type2	DROP	3	0	-3	P1_NON_TYPE1_EXPECTED_DROP
1175	3	Long	474156	[440599,474156]	010000	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
1176	3	Long	656902	[557239,656902]	010000	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
1181	3	Long	4472660	[4459078,4472660]	010000	type2	DROP	3	0	-3	P1_NON_TYPE1_EXPECTED_DROP
1195	3	Short	918449	[611866,918449]	000010	type2	DROP	4	0	-4	P1_NON_TYPE1_EXPECTED_DROP
1196	3	Short	832446	[797034,832446]	000010	type2	DROP	5	0	-5	P1_NON_TYPE1_EXPECTED_DROP
1197	3	Short	1306361	[1150935,1306361]	000010	type2	DROP	3	0	-3	P1_NON_TYPE1_EXPECTED_DROP
1200	3	Short	2972713	[2936993,2972713]	000010	type2	DROP	3	0	-3	P1_NON_TYPE1_EXPECTED_DROP
1231	4	Long	476091	[340499,476091]	001000	type3	DROP	2	0	-2	P1_NON_TYPE1_EXPECTED_DROP
1232	4	Long	2807448	[2578970,2807448]	010000	type2	DROP	3	0	-3	P1_NON_TYPE1_EXPECTED_DROP
36	1	Long	329898	[329509,329898]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
48	1	Long	665256	[665166,665256]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
69	1	Long	1254307	[1253494,1254307]	100000	type1	KEEP	3	3	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
74	1	Long	1386504	[1386288,1386504]	100000	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
90	1	Long	1929268	[1929092,1929268]	100000	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
98	1	Long	2089427	[2088926,2089427]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
101	1	Long	2156291	[2155923,2156291]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
104	1	Long	2322345	[2321545,2322345]	100000	type1	KEEP	3	3	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
106	1	Long	2362715	[2361580,2362715]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
108	1	Long	2391960	[2391086,2391960]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
114	1	Long	2623759	[2621848,2623759]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
115	1	Long	2636128	[2635395,2636128]	100000	type1	KEEP	8	8	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
116	1	Long	2665117	[2663777,2665117]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
120	1	Long	2739419	[2739348,2739419]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
121	1	Long	2741139	[2740824,2741139]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
143	1	Long	3653226	[3653147,3653226]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
153	1	Long	3998884	[3996671,3998884]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
159	1	Long	4176737	[4175999,4176737]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
161	1	Long	4225885	[4225773,4225885]	100000	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
164	1	Long	4283243	[4283110,4283243]	100000	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
166	1	Long	4333358	[4332951,4333358]	100000	type1	KEEP	8	8	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
453	1	Short	42759	[42503,42759]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
454	1	Short	81297	[80815,81297]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
458	1	Short	144868	[144719,144868]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
461	1	Short	203499	[203334,203499]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
465	1	Short	262903	[262648,262903]	000100	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
500	1	Short	1119820	[1119726,1119820]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
507	1	Short	1294761	[1293868,1294761]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
509	1	Short	1417943	[1414076,1417943]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
511	1	Short	1442078	[1439605,1442078]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
524	1	Short	1674725	[1674619,1674725]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
527	1	Short	1720433	[1720304,1720433]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
528	1	Short	1761022	[1760934,1761022]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
536	1	Short	1916300	[1915318,1916300]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
541	1	Short	2099936	[2099801,2099936]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
546	1	Short	2161259	[2161147,2161259]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
549	1	Short	2278234	[2277115,2278234]	000100	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
564	1	Short	2616616	[2615505,2616616]	000100	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
565	1	Short	2704678	[2704387,2704678]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
584	1	Short	3064308	[3064048,3064308]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
590	1	Short	3220487	[3219271,3220487]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
596	1	Short	3337868	[3337683,3337868]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
597	1	Short	3435865	[3435717,3435865]	000100	type1	KEEP	8	8	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
609	1	Short	3711390	[3710967,3711390]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
613	1	Short	3778182	[3777802,3778182]	000100	type1	KEEP	9	9	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
628	1	Short	4068897	[4068822,4068897]	000100	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
632	1	Short	4146238	[4146025,4146238]	000100	type1	KEEP	8	8	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
955	2	Long	384071	[382954,384071]	100000	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
958	2	Long	452123	[444144,452123]	100000	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
964	2	Long	1103427	[1101991,1103427]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
966	2	Long	1217525	[1213431,1217525]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
973	2	Long	2133218	[2127203,2133218]	100000	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
987	2	Long	3919022	[3918076,3919022]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
988	2	Long	3953096	[3952111,3953096]	100000	type1	KEEP	6	6	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
991	2	Long	4256557	[4251834,4256557]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
993	2	Long	4491546	[4490555,4491546]	100000	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1046	2	Short	790183	[789368,790183]	000100	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1049	2	Short	958366	[957177,958366]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1050	2	Short	1074650	[1070376,1074650]	000100	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1053	2	Short	1536547	[1535508,1536547]	000100	type1	KEEP	8	8	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1054	2	Short	1543561	[1542885,1543561]	000100	type1	KEEP	8	8	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1059	2	Short	1751816	[1751264,1751816]	000100	type1	KEEP	8	8	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1063	2	Short	1999965	[1998439,1999965]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1064	2	Short	2060021	[2059154,2060021]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1068	2	Short	2175827	[2168993,2175827]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1070	2	Short	2518076	[2508449,2518076]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1072	2	Short	2832579	[2831577,2832579]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1074	2	Short	3070343	[3065973,3070343]	000100	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1076	2	Short	3402768	[3401598,3402768]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1079	2	Short	3607501	[3605466,3607501]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1082	2	Short	3781370	[3779466,3781370]	000100	type1	KEEP	8	8	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1083	2	Short	3793981	[3792705,3793981]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1085	2	Short	4041443	[4032698,4041443]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1086	2	Short	4267828	[4266971,4267828]	000100	type1	KEEP	7	7	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1174	3	Long	398688	[388350,398688]	100000	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1177	3	Long	2536854	[2532656,2536854]	100000	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1178	3	Long	2760271	[2747470,2760271]	100000	type1	KEEP	3	3	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1179	3	Long	3174429	[3151802,3174429]	100000	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1180	3	Long	4290243	[4284770,4290243]	100000	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1198	3	Short	1867864	[1840266,1867864]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1201	3	Short	3548178	[3544470,3548178]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1202	3	Short	3638405	[3632456,3638405]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1204	3	Short	4055757	[4045988,4055757]	000100	type1	KEEP	5	5	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1233	4	Long	4017019	[4001231,4017019]	100000	type1	KEEP	2	2	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1235	4	Short	1465337	[1449580,1465337]	000100	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1236	4	Short	1921730	[1893590,1921730]	000100	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
1237	4	Short	3288221	[3252919,3288221]	000100	type1	KEEP	4	4	0	P1_TYPE1_AND_P3_PASS_BY_OUTCOME
