ticker,trigger_date,case,coil_days,pivot_date,pivot_close,pivot_vol,dry_last_ratio,dry_mean_ratio,max_daily_amp,pullback,notes
DIBS,2026-05-28,V2(C=2),2,2026-05-26,4.699999809265137,1166800.0,0.11476859787452863,0.13387555707919094,0.03625,0.02553,coil0.43% dry_last11%
HTT,2026-05-28,V2(C=2),2,2026-05-26,3.009999990463257,1617400.0,0.15259676023247187,0.31986830715963893,0.02658,0.00997,coil0.33% dry_last15%
CRNC,2026-05-28,V2(C=3),3,2026-05-22,10.979999542236328,4580900.0,0.1726409657490886,0.25197020963857175,0.06922,0.01821,coil3.83% dry_last17%
OPAL,2026-05-28,V2(C=3),3,2026-05-22,2.1600000858306885,537100.0,0.18342394339973933,0.37908334884875566,0.05093,0.02778,coil3.24% dry_last18%
RL,2026-05-28,V2(C=4),4,2026-05-21,374.8999938964844,2116500.0,0.21018284904323176,0.3537269076305221,0.03478,0.01267,coil2.94% dry_last21%
SPOT,2026-05-28,V2(C=4),4,2026-05-21,489.92999267578125,7301900.0,0.22655829304701516,0.391466810008354,0.05858,-0.03137,coil3.45% dry_last23%
CSW,2026-05-28,V2(C=2),2,2026-05-26,279.5899963378906,260100.0,0.23234525182622068,0.3647308727412534,0.0666,0.01184,coil2.23% dry_last23%
ALTO,2026-05-28,V2(C=2),2,2026-05-26,5.21999979019165,5580900.0,0.2614026411510688,0.4118566897812181,0.07088,0.0249,coil1.72% dry_last26%
TKR,2026-05-28,V2(C=2),2,2026-05-26,127.41999816894531,1903800.0,0.2790939174283013,0.39989468431557934,0.02414,0.02896,coil0.30% dry_last28%
AMRC,2026-05-28,V2(C=2),2,2026-05-26,35.5099983215332,1315700.0,0.2823835220795014,0.4129102378961769,0.06871,0.02281,coil1.75% dry_last28%
GSIT,2026-05-28,V2(C=3),3,2026-05-22,9.65999984741211,5782200.0,0.28580730517795994,0.45972092513806745,0.1545,-0.03313,coil3.21% dry_last29%
PONY,2026-05-28,V2(C=2),2,2026-05-26,9.34000015258789,17927200.0,0.29539191842563256,0.3046780869293587,0.0768,-0.00749,coil2.36% dry_last30%
PRTA,2026-05-28,V2(C=2),2,2026-05-26,10.0600004196167,918600.0,0.30214239059438275,0.48647289353363815,0.02535,0.01292,coil0.50% dry_last30%
LGND,2026-05-28,V2(C=3),3,2026-05-22,229.3300018310547,368200.0,0.32548071700162956,0.4815697990222705,0.03358,0.00297,coil0.54% dry_last33%
RNST,2026-05-28,V2(C=5),5,2026-05-20,41.119998931884766,1008600.0,0.34903033908387865,0.5494015466983938,0.02221,0.02322,coil1.80% dry_last35%
ECOR,2026-05-28,V2(C=2),2,2026-05-26,8.90999984741211,617700.0,0.3586595434677028,0.43519831633479034,0.1156,0.02918,coil0.00% dry_last36%
SRG,2026-05-28,V2(C=2),2,2026-05-26,2.680000066757202,877000.0,0.3675199543899658,0.43963226909920183,0.05784,0.01119,coil1.49% dry_last37%
DECK,2026-05-28,V2(C=3),3,2026-05-22,106.66999816894531,5163700.0,0.3804667196002866,0.4861576001704204,0.06084,0.01566,coil2.75% dry_last38%
GRPN,2026-05-28,V2(C=2),2,2026-05-26,20.690000534057617,4104300.0,0.3966291450430037,0.5370934142241064,0.09618,0.01402,coil1.26% dry_last40%
CBLL,2026-05-27,V2(C=3),3,2026-05-21,18.739999771118164,563600.0,0.21682044002838893,0.3038206766027916,0.02824,0.01708,coil0.53% dry_last22%
